square_footage,bedrooms,bathrooms,house_age_years,location_score,price
1427,3,4.0,41,5,318500
1483,1,1.5,8,5,336200
1134,1,2.0,22,2,261800
1312,2,3.0,14,3,293800
2541,4,5.0,12,5,466600
2131,2,3.0,22,7,460600
1930,3,4.0,16,6,487300
1501,4,5.0,47,7,397500
1891,2,3.0,59,8,415000
2617,4,4.5,1,6,517700
1438,2,2.0,19,6,355100
1796,3,4.0,19,4,371200
3153,5,5.0,58,9,659900
2281,3,4.0,45,3,401800
1508,2,3.0,2,6,380500
2220,4,5.0,54,7,485200
1073,1,2.0,11,7,349100
1773,3,4.0,39,3,370500
2219,2,4.0,1,5,489500
2055,2,3.0,35,4,393800
2212,3,4.0,13,2,406700
2373,4,4.5,15,6,502300
2108,3,4.5,18,4,412700
2088,3,4.5,33,9,510400
1944,3,4.0,43,7,421500
1266,1,2.5,45,6,310200
2540,4,4.5,5,5,534700
1793,3,4.5,12,6,466700
2262,3,4.5,35,5,461000
2452,3,4.5,21,6,523300
1531,2,3.5,17,9,436800
1574,2,2.0,11,3,308800
1641,2,2.5,51,5,395100
2703,5,5.0,58,7,536000
1348,2,3.0,53,5,314500
2864,4,5.0,29,9,642500
1937,2,3.5,52,7,455200
1982,3,4.5,50,4,401200
2415,3,4.5,39,6,513100
1866,2,3.0,6,4,377300
2550,5,5.0,31,4,488300
1531,3,3.0,47,5,314900
2832,4,5.0,18,8,610900
1568,1,2.5,5,7,399400
2870,5,5.0,19,5,545700
1581,2,2.5,26,7,384400
1656,3,3.0,52,6,439000
1299,1,1.5,42,3,284500
1407,3,4.0,36,5,325300
1796,2,2.5,47,5,388100
1961,3,4.0,6,7,436900
2487,4,5.0,58,4,399100
1693,2,2.5,4,4,356600
1248,1,2.0,10,5,340800
2057,3,4.5,14,4,462800
1918,3,4.0,2,5,435600
2130,3,5.0,57,5,422600
1470,3,3.0,4,5,371600
1524,1,2.5,22,7,358200
1470,3,3.5,52,8,373600
2649,4,5.0,36,7,573400
2841,3,5.0,8,2,487800
1503,1,1.5,14,4,337500
1513,2,3.0,2,5,342800
2228,4,4.0,28,2,464800
2952,4,5.0,5,4,512700
3177,6,5.0,16,5,582300
1482,1,2.0,25,5,318500
1598,2,3.5,20,6,330200
1994,2,3.5,7,3,324500
2025,3,4.0,20,5,380600
1714,3,3.5,56,6,376400
1393,2,2.5,10,6,341500
1797,1,2.5,37,6,383500
3175,5,5.0,7,6,612600
1530,2,2.5,41,5,341600
1954,3,4.0,23,6,423700
3915,6,5.0,34,4,688700
1524,1,2.5,54,5,333700
2262,4,5.0,13,3,443800
3224,5,5.0,54,8,643200
2198,2,3.0,13,5,429500
2584,4,5.0,9,8,529500
2363,3,4.5,11,6,518700
2141,3,4.5,37,4,403700
2809,4,5.0,43,6,569900
2239,3,4.0,54,7,476800
1720,2,3.5,45,5,364800
1906,3,4.0,33,6,377300
2048,2,3.0,40,4,426300
1595,2,3.5,9,6,375800
1933,3,4.5,57,6,437300
1844,2,3.0,16,4,372400
2237,4,5.0,16,3,440700
3533,5,5.0,2,8,697800
1970,2,3.0,30,7,429100
2978,4,5.0,50,4,527700
2210,4,4.0,0,6,483800
1931,2,3.5,11,3,389900
1567,2,2.0,38,2,301500
1935,3,4.5,3,8,479800
1897,3,3.5,41,6,428700
1440,2,2.5,12,5,327200
1509,2,2.5,33,6,406200
2053,4,4.5,41,10,549000
2968,5,5.0,20,7,620200
1778,3,2.5,21,3,303300
1118,2,3.0,56,2,253300
870,1,1.5,3,8,290500
1292,1,1.5,17,7,303100
2281,4,4.5,4,7,503700
1183,2,3.0,18,4,273300
2402,4,4.5,1,6,526400
2240,4,4.5,11,4,499700
1758,1,2.5,16,7,416600
1089,2,2.5,9,7,396200
1444,1,1.5,33,4,253900
1678,2,3.0,5,8,408200
2037,3,3.5,7,6,423400
1195,3,3.5,50,6,355100
2861,6,5.0,10,3,535800
2031,3,4.0,56,6,432500
2106,3,4.0,11,4,445100
2235,4,5.0,8,6,459800
2764,5,5.0,1,8,585600
1937,3,3.5,7,6,459900
2282,5,5.0,57,4,441600
1451,2,3.5,10,7,339300
3181,5,5.0,59,6,569700
1894,3,3.5,52,10,460100
1449,2,3.0,35,6,352500
1567,3,3.5,9,4,357800
963,1,1.0,20,7,265200
1564,2,3.5,19,5,384700
808,1,2.5,47,6,248200
2338,4,5.0,7,4,484300
2085,4,4.5,35,5,429700
1316,2,2.0,28,6,361600
1788,4,4.5,41,5,395300
1815,3,4.0,11,4,396200
1233,2,2.5,13,6,353300
1689,2,3.0,47,4,348200
1833,2,3.0,53,3,346800
1675,3,3.0,49,7,342200
1448,3,4.0,20,7,407800
1300,2,3.0,21,3,293900
1656,2,2.5,20,2,328300
1503,1,2.5,43,3,296400
2185,3,4.5,49,5,426700
2823,5,5.0,29,8,616600
2441,4,4.5,38,5,489900
1852,3,3.0,19,4,350500
1465,2,2.5,23,6,383000
2419,3,4.5,22,5,446500
2229,3,5.0,6,3,466000
2754,4,5.0,8,3,550700
1938,3,4.0,0,3,371900
3121,5,5.0,25,10,659000
1938,2,3.5,37,7,421700
1463,1,1.5,37,4,288800
1548,3,4.0,53,8,447000
2151,3,4.0,43,4,391300
1502,2,3.5,21,8,390100
3114,5,5.0,43,6,629800
2093,3,4.0,9,4,420600
1839,3,3.5,54,7,391300
1889,3,3.5,57,6,410800
1669,3,4.0,5,6,429900
1038,1,1.5,16,6,272700
1548,3,3.5,50,6,380600
2975,4,5.0,49,7,545100
1954,3,4.0,37,10,455000
2536,4,4.5,23,8,537800
2560,2,4.0,50,6,501000
1794,3,3.5,9,5,420800
2241,2,3.0,55,5,388900
1070,1,1.0,7,3,258000
2890,3,4.0,20,7,568000
2807,5,5.0,55,3,482400
2131,3,3.5,5,5,410900
1978,4,5.0,20,7,480100
1802,2,3.0,56,5,397500
2635,3,4.5,38,5,501100
2327,3,4.5,23,3,417400
708,2,2.0,32,8,232300
1612,2,3.0,58,4,364700
1249,1,1.5,17,4,303400
1177,2,3.0,55,2,253300
2626,4,5.0,27,5,555600
1789,3,3.0,56,5,377300
2120,4,4.5,51,6,441600
1863,2,3.0,31,3,368900
1182,1,1.5,11,7,296600
1078,1,2.0,47,2,193000
1577,2,2.5,41,5,359000
1619,2,3.5,26,6,400700
1619,2,3.5,9,6,355900
1634,3,3.5,45,6,348700
3447,5,5.0,56,7,629500
2523,4,5.0,51,8,521500
1964,2,3.0,41,5,404100
1774,2,2.5,31,4,354600
1795,2,3.0,41,7,431000
2299,4,5.0,25,5,488300
1769,3,4.0,24,8,426200
2435,2,3.0,10,4,401900
2033,2,3.0,22,4,399400
3458,4,5.0,33,6,587700
1735,2,3.0,56,2,295800
2584,4,5.0,51,5,483500
1284,1,1.5,39,5,272900
1477,1,2.0,22,6,305300
3288,4,5.0,28,4,564400
2400,4,5.0,30,4,503600
2133,3,4.0,6,8,523500
3782,5,5.0,39,5,697700
1783,3,4.0,32,7,425200
2582,3,4.5,20,4,494600
2647,4,5.0,1,5,563200
3028,5,5.0,17,6,558100
1238,3,2.5,46,9,384700
1779,2,3.5,32,5,413000
2021,3,4.0,36,5,399300
3010,5,5.0,33,8,649300
2104,2,4.0,19,5,483400
2649,4,5.0,34,6,552300
1204,3,3.0,50,8,364300
1647,2,3.5,49,4,313100
2803,3,4.5,53,6,554600
1716,3,3.5,17,9,422800
1826,3,3.5,45,7,426900
2993,5,5.0,23,6,599400
1370,2,2.5,7,5,249500
1469,2,2.0,29,4,321900
1166,1,1.5,43,4,320000
3036,5,5.0,52,9,571000
2507,4,5.0,9,8,557000
2485,3,4.5,22,4,426500
1632,2,3.0,51,6,340000
1140,1,1.0,48,6,224600
1046,2,3.0,10,8,346500
2810,4,5.0,1,6,588500
2179,3,4.5,57,5,446200
2318,4,5.0,25,4,444400
1991,3,4.5,35,6,424200
1414,2,3.0,32,5,337500
1656,2,3.5,46,6,351200
1306,2,3.0,12,5,294500
1256,2,2.5,39,5,296200
2436,4,5.0,24,4,458700
1073,1,2.0,3,7,324500
1309,2,3.0,41,6,361000
1687,3,3.0,18,9,503400
1880,2,2.5,17,3,366600
1162,1,2.0,36,7,324600
1064,3,3.0,29,5,283200
2095,4,4.5,18,10,515000
1954,2,3.0,57,7,445100
2793,4,5.0,22,6,549300
1891,2,3.5,58,5,382700
2165,3,3.5,53,4,439900
1439,2,2.5,15,6,344500
1458,2,2.5,0,3,353500
1198,1,1.5,11,3,273600
1443,2,2.5,23,8,389000
1648,2,2.5,33,2,291100
2697,3,4.0,52,5,507400
1375,2,2.5,56,3,267300
3515,5,5.0,7,5,655000
2228,4,3.5,17,6,470300
2077,4,5.0,56,7,492400
1843,2,3.5,47,8,424900
1731,3,3.5,4,4,432700
1510,3,3.5,25,5,352800
1148,2,2.0,29,10,349900
1390,2,3.5,53,5,332000
3033,5,5.0,12,4,594900
2183,3,4.0,18,4,461700
3024,3,5.0,28,5,562000
1498,3,3.5,2,5,378200
1295,2,2.0,25,5,316400
1837,2,3.0,39,5,351000
1406,2,2.5,58,5,336300
1960,3,3.5,57,4,351300
1078,1,1.5,57,6,240000
931,2,2.0,11,6,287600
2051,5,5.0,1,6,477600
3063,4,5.0,10,2,554500
2081,2,3.0,43,6,431400
2176,3,4.0,27,2,403100
1862,3,3.5,17,5,377800
1920,3,4.0,12,7,452100
1131,3,2.5,36,8,340400
1422,1,2.5,21,6,343700
2687,4,5.0,11,7,553200
1261,1,1.5,1,5,314900
1637,4,3.5,36,4,353800
2668,5,5.0,6,10,627900
1903,2,3.0,25,7,442800
1934,2,2.5,25,3,347200
1641,3,3.5,23,2,312100
2281,3,5.0,11,5,489100
2466,3,4.5,15,8,503400
1399,2,2.5,22,6,370700
1163,1,1.0,39,1,205300
981,1,1.5,59,5,236400
2141,3,4.0,8,5,463600
2061,3,4.0,31,1,380900
3878,6,5.0,14,6,706500
1866,2,3.5,36,3,380900
1759,3,4.5,12,2,346300
1982,3,4.0,4,9,510600
2017,3,4.0,10,3,377100
1715,3,3.5,9,4,390100
1413,2,2.5,51,4,291900
1834,3,4.5,12,6,399300
1811,3,3.5,40,9,454700
1802,2,3.0,52,3,336400
2361,3,4.0,45,5,419300
1823,2,3.0,49,6,333400
1171,1,1.0,14,4,259700
1484,4,4.5,41,5,409000
1708,3,3.5,55,7,406500
1851,2,3.0,6,4,364400
2156,2,3.0,39,5,443300
1855,3,4.5,27,5,434800
936,2,2.0,31,5,293600
1212,2,3.0,34,6,337500
2205,3,3.5,14,7,500700
1693,2,3.0,47,9,434900
1907,3,4.0,35,1,336400
1625,2,2.5,20,5,315100
1482,1,2.0,5,3,289300
1644,2,3.5,0,5,407900
1914,2,2.0,3,7,413700
1818,3,4.0,10,8,451500
2460,6,5.0,43,8,522600
1104,2,2.0,25,8,316200
1149,1,2.5,36,5,282700
1687,3,3.5,22,8,439800
2164,3,3.5,28,9,485200
2318,4,5.0,20,6,486900
1501,3,4.5,47,8,425700
766,3,2.0,44,6,266100
1516,1,1.5,44,8,367100
2063,3,4.5,48,5,464800
1808,2,3.5,26,4,359300
2190,4,5.0,38,3,429600
2655,3,4.0,39,5,509900
1724,2,4.0,12,6,383100
1569,2,3.5,22,4,351000
1353,3,3.5,58,5,324900
1147,2,2.0,15,4,349600
1057,1,1.5,29,3,235800
1455,2,2.5,3,8,418000
2530,3,4.5,39,8,552800
2260,2,4.0,15,8,468800
1546,2,3.0,30,5,308800
3527,5,5.0,52,5,628400
1486,4,5.0,41,3,376300
2741,4,5.0,24,6,556100
2964,3,5.0,43,6,560200
2108,3,4.5,11,10,518400
1450,3,3.0,25,8,358400
1610,4,4.5,36,6,377200
1929,2,3.0,47,5,344400
1157,1,1.0,32,8,285300
1314,3,3.5,27,4,307000
1281,2,3.5,8,8,397100
2161,2,2.5,11,3,383700
2646,4,5.0,4,4,523900
2289,1,3.0,53,2,375600
2496,4,5.0,51,7,533500
1412,2,2.5,53,6,303100
1633,3,3.0,27,4,378900
1673,2,3.0,55,4,300100
2106,3,3.5,34,8,460500
3535,4,5.0,4,5,638700
1467,2,3.0,33,4,340500
2444,3,4.5,45,9,568300
2935,4,5.0,33,4,556900
2141,2,3.5,12,8,514300
1610,3,4.0,38,3,320500
1374,3,3.5,41,5,365100
1281,2,3.0,44,7,364200
939,1,1.5,47,5,180300
1689,1,2.5,57,6,346700
1658,2,3.0,13,4,369500
2393,3,4.5,10,2,427300
1497,4,3.5,41,8,376000
1720,2,3.0,37,5,417800
1992,4,4.5,3,6,466300
2129,4,4.5,52,7,473900
2301,3,4.0,32,6,439400
1927,4,4.0,6,4,402900
1177,2,3.5,55,8,319300
2068,3,4.5,40,7,488100
1463,2,3.5,7,6,382700
2689,5,5.0,36,6,530400
1829,3,4.0,50,9,465500
1965,2,2.5,9,4,381000
3998,5,5.0,42,6,704600
2314,3,4.0,56,4,437400
2056,2,3.5,14,2,388200
1736,2,3.0,37,2,329300
1206,3,3.5,14,3,309200
1696,2,3.0,4,4,394900
1368,2,3.5,28,10,424200
3061,4,5.0,18,7,596900
2065,4,5.0,53,7,465900
2655,2,4.0,50,4,498400
1484,2,2.5,9,6,362400
1399,2,3.0,11,10,405000
2239,4,5.0,53,3,413400
1351,2,2.5,3,6,353400
1572,1,1.5,30,9,363300
3113,5,5.0,17,7,652200
1592,2,3.5,15,9,400600
1129,1,1.5,39,6,318900
1006,1,2.0,35,7,283100
1089,1,1.5,24,6,257800
2709,3,4.0,22,7,545800
1513,1,2.5,11,4,300200
3950,6,5.0,33,7,721400
2947,5,5.0,35,6,561700
3377,5,5.0,36,6,650900
2518,3,4.5,2,9,567600
2199,3,4.0,8,5,427200
1383,2,3.0,52,8,347000
1815,3,4.0,17,8,468900
2273,4,5.0,42,7,530900
2465,3,4.0,34,4,459700
1240,2,2.5,56,6,280700
1705,3,4.0,54,9,461000
1768,4,5.0,33,2,385200
1745,3,3.0,40,5,407100
1290,2,2.5,13,8,371600
3231,5,5.0,3,5,598200
1686,3,3.5,28,7,422200
1319,2,3.5,40,8,374400
3260,4,5.0,44,6,586800
